model,topic,lang,variant,refusals,n,refusal_rate
Llama 3.1 8B,Violence,fr,None,30,196,0.1531
Llama 3.1 8B,Violence,fr,Sup.,79,199,0.397
Llama 3.1 8B,Violence,de,None,25,196,0.1276
Llama 3.1 8B,Violence,de,Sup.,108,195,0.5538
Llama 3.1 8B,Sexual,fr,None,17,199,0.0854
Llama 3.1 8B,Sexual,fr,Sup.,112,198,0.5657
Llama 3.1 8B,Sexual,de,None,11,198,0.0556
Llama 3.1 8B,Sexual,de,Sup.,118,196,0.602
Llama 3.1 8B,Harmful,fr,None,19,199,0.0955
Llama 3.1 8B,Harmful,fr,Sup.,65,196,0.3316
Llama 3.1 8B,Harmful,de,None,23,199,0.1156
Llama 3.1 8B,Harmful,de,Sup.,79,195,0.4051
Llama 3.1 8B,Unethical,fr,None,30,198,0.1515
Llama 3.1 8B,Unethical,fr,Sup.,81,199,0.407
Llama 3.1 8B,Unethical,de,None,36,198,0.1818
Llama 3.1 8B,Unethical,de,Sup.,95,195,0.4872
Llama 3.1 8B,Illegal,fr,None,69,200,0.345
Llama 3.1 8B,Illegal,fr,Sup.,124,199,0.6231
Llama 3.1 8B,Illegal,de,None,65,199,0.3266
Llama 3.1 8B,Illegal,de,Sup.,121,198,0.6111
Gemma 4 E4B,Violence,fr,None,14,200,0.07
Gemma 4 E4B,Violence,fr,Sup.,18,200,0.09
Gemma 4 E4B,Violence,de,None,7,200,0.035
Gemma 4 E4B,Violence,de,Sup.,15,199,0.0754
Gemma 4 E4B,Sexual,fr,None,5,198,0.0253
Gemma 4 E4B,Sexual,fr,Sup.,12,200,0.06
Gemma 4 E4B,Sexual,de,None,3,200,0.015
Gemma 4 E4B,Sexual,de,Sup.,14,200,0.07
Gemma 4 E4B,Harmful,fr,None,6,200,0.03
Gemma 4 E4B,Harmful,fr,Sup.,20,200,0.1
Gemma 4 E4B,Harmful,de,None,7,200,0.035
Gemma 4 E4B,Harmful,de,Sup.,13,200,0.065
Gemma 4 E4B,Unethical,fr,None,12,200,0.06
Gemma 4 E4B,Unethical,fr,Sup.,28,198,0.1414
Gemma 4 E4B,Unethical,de,None,8,200,0.04
Gemma 4 E4B,Unethical,de,Sup.,8,199,0.0402
Gemma 4 E4B,Illegal,fr,None,26,199,0.1307
Gemma 4 E4B,Illegal,fr,Sup.,48,200,0.24
Gemma 4 E4B,Illegal,de,None,15,200,0.075
Gemma 4 E4B,Illegal,de,Sup.,24,200,0.12
Apertus 8B,Violence,fr,None,3,200,0.015
Apertus 8B,Violence,fr,Sup.,64,199,0.3216
Apertus 8B,Violence,de,None,1,199,0.005
Apertus 8B,Violence,de,Sup.,3,199,0.0151
Apertus 8B,Sexual,fr,None,1,200,0.005
Apertus 8B,Sexual,fr,Sup.,54,200,0.27
Apertus 8B,Sexual,de,None,0,200,0.0
Apertus 8B,Sexual,de,Sup.,8,200,0.04
Apertus 8B,Harmful,fr,None,0,200,0.0
Apertus 8B,Harmful,fr,Sup.,30,200,0.15
Apertus 8B,Harmful,de,None,2,200,0.01
Apertus 8B,Harmful,de,Sup.,5,200,0.025
Apertus 8B,Unethical,fr,None,2,199,0.0101
Apertus 8B,Unethical,fr,Sup.,38,200,0.19
Apertus 8B,Unethical,de,None,8,200,0.04
Apertus 8B,Unethical,de,Sup.,12,200,0.06
Apertus 8B,Illegal,fr,None,8,199,0.0402
Apertus 8B,Illegal,fr,Sup.,64,200,0.32
Apertus 8B,Illegal,de,None,8,200,0.04
Apertus 8B,Illegal,de,Sup.,7,200,0.035
Qwen 3 8B,Violence,fr,None,0,197,0.0
Qwen 3 8B,Violence,fr,Sup.,0,200,0.0
Qwen 3 8B,Violence,de,None,0,199,0.0
Qwen 3 8B,Violence,de,Sup.,0,199,0.0
Qwen 3 8B,Sexual,fr,None,0,200,0.0
Qwen 3 8B,Sexual,fr,Sup.,0,200,0.0
Qwen 3 8B,Sexual,de,None,0,198,0.0
Qwen 3 8B,Sexual,de,Sup.,1,200,0.005
Qwen 3 8B,Harmful,fr,None,0,199,0.0
Qwen 3 8B,Harmful,fr,Sup.,1,200,0.005
Qwen 3 8B,Harmful,de,None,0,199,0.0
Qwen 3 8B,Harmful,de,Sup.,0,199,0.0
Qwen 3 8B,Unethical,fr,None,0,200,0.0
Qwen 3 8B,Unethical,fr,Sup.,0,200,0.0
Qwen 3 8B,Unethical,de,None,0,200,0.0
Qwen 3 8B,Unethical,de,Sup.,1,199,0.005
Qwen 3 8B,Illegal,fr,None,0,200,0.0
Qwen 3 8B,Illegal,fr,Sup.,1,200,0.005
Qwen 3 8B,Illegal,de,None,0,199,0.0
Qwen 3 8B,Illegal,de,Sup.,1,198,0.0051
