model,lang,prefix,b,c,odds_ratio,rate_baseline,rate_prefix,p_uncorrected,p_holm
llama3.1:8b,en,supreme,829,0,inf,0.18765133171912832,0.6894673123486683,2.7934029957198183e-250,3.910764e-249
llama3.1:8b,fr,supreme,195,15,13.0,0.12530266343825666,0.23426150121065376,2.0536821851001421e-41,2.259050e-40
llama3.1:8b,de,supreme,161,113,1.424778761061947,0.2560532687651332,0.2851089588377724,0.0022168359815242034,1.773469e-02
llama3.1:8b,it,supreme,400,0,inf,0.21973365617433413,0.461864406779661,3.8725919148493183e-121,5.034369e-120
gemma4:e4b,en,supreme,1,8,0.125,0.005447941888619854,0.0012106537530266344,0.998046875,1.000000e+00
gemma4:e4b,fr,supreme,2,7,0.2857142857142857,0.00423728813559322,0.0012106537530266344,0.98046875,1.000000e+00
gemma4:e4b,de,supreme,1,2,0.5,0.0018159806295399517,0.0012106537530266344,0.875,1.000000e+00
qwen3:8b,en,supreme,3,3,1.0,0.0024227740763173833,0.0024227740763173833,0.65625,1.000000e+00
qwen3:8b,fr,supreme,1,0,inf,0.0,0.0006056935190793458,0.5,1.000000e+00
qwen3:8b,de,supreme,5,0,inf,0.0006064281382656155,0.0036385688295936932,0.03125,2.187500e-01
hf.co/bartowski/swiss-ai_Apertus-8B-Instruct-2509-GGUF:Q4_K_M,en,supreme,59,17,3.4705882352941178,0.013922518159806295,0.03934624697336562,6.984359056570014e-07,6.984359e-06
hf.co/bartowski/swiss-ai_Apertus-8B-Instruct-2509-GGUF:Q4_K_M,fr,supreme,313,12,26.083333333333332,0.010895883777239709,0.19309927360774817,3.5902490254880095e-77,4.308299e-76
hf.co/bartowski/swiss-ai_Apertus-8B-Instruct-2509-GGUF:Q4_K_M,de,supreme,35,10,3.5,0.009685230024213076,0.024818401937046004,0.00012354389230040397,1.111895e-03
hf.co/bartowski/swiss-ai_Apertus-8B-Instruct-2509-GGUF:Q4_K_M,it,supreme,34,81,0.41975308641975306,0.05330102967898243,0.02483343428225318,0.9999972142883957,1.000000e+00
