bger_source,category,query,language,faits_chars
6B_940/2025,sexual,"""contrainte sexuelle""",fr,4447
6B_233/2008,sexual,"""contrainte sexuelle""",fr,2714
6S.47/2004,sexual,"""contrainte sexuelle""",fr,2118
6B_911/2025,sexual,"""contrainte sexuelle""",fr,3110
6B_418/2018,sexual,"""contrainte sexuelle""",fr,5310
6B_1070/2017,sexual,"""contrainte sexuelle""",fr,11460
6B_729/2011,sexual,"""contrainte sexuelle""",fr,2835
6B_114/2009,sexual,"""contrainte sexuelle""",fr,2410
6B_277/2020,sexual,"""contrainte sexuelle""",fr,3388
6B_1306/2017,sexual,"""contrainte sexuelle""",fr,4428
6B_665/2025,sexual,"""contrainte sexuelle""",fr,1998
6B_880/2021,sexual,"""contrainte sexuelle""",fr,19227
6B_259/2020,sexual,"""contrainte sexuelle""",fr,11629
6B_1284/2019,sexual,"""contrainte sexuelle""",fr,4063
6B_1040/2019,sexual,"""contrainte sexuelle""",fr,4938
6B_170/2018,sexual,"""contrainte sexuelle""",fr,5538
6B_444/2009,sexual,"""contrainte sexuelle""",fr,6775
6B_307/2008,sexual,"""contrainte sexuelle""",fr,5698
6B_311/2025,sexual,"""contrainte sexuelle""",fr,7576
6B_1307/2020,sexual,"""contrainte sexuelle""",fr,11305
6B_231/2020,sexual,"""contrainte sexuelle""",fr,3770
6B_903/2018,sexual,"""contrainte sexuelle""",fr,1708
6B_583/2017,sexual,"""contrainte sexuelle""",fr,4640
6B_68/2025,sexual,"""contrainte sexuelle""",fr,6616
6B_1499/2021,sexual,"""contrainte sexuelle""",fr,4631
6B_696/2019,sexual,"""contrainte sexuelle""",fr,2753
6B_1154/2017,sexual,"""contrainte sexuelle""",fr,1760
6B_1339/2016,sexual,"""contrainte sexuelle""",fr,4420
6B_287/2009,sexual,"""contrainte sexuelle""",fr,1925
6B_1283/2019,sexual,"""contrainte sexuelle""",fr,6299
6B_560/2019,sexual,"""contrainte sexuelle""",fr,7622
6B_520/2025,sexual,"""contrainte sexuelle""",fr,2816
7B_544/2023,sexual,"""contrainte sexuelle""",fr,10630
6B_221/2021,sexual,"""contrainte sexuelle""",fr,7031
6B_193/2018,sexual,"""contrainte sexuelle""",fr,3867
6B_1014/2017,sexual,"""contrainte sexuelle""",fr,11116
6B_99/2023,sexual,"""contrainte sexuelle""",fr,5709
6B_620/2021,sexual,"""contrainte sexuelle""",fr,3136
6B_278/2020,sexual,"""contrainte sexuelle""",fr,2175
6B_944/2019,sexual,"""contrainte sexuelle""",fr,3554
6B_1065/2019,sexual,"""contrainte sexuelle""",fr,3898
6B_71/2015,sexual,"""contrainte sexuelle""",fr,2284
6B_182/2012,sexual,"""contrainte sexuelle""",fr,3931
6B_303/2008,sexual,"""contrainte sexuelle""",fr,1801
6S.463/2005,sexual,"""contrainte sexuelle""",fr,2620
6B_57/2026,sexual,"""contrainte sexuelle""",fr,7153
6B_1029/2023,sexual,"""contrainte sexuelle""",fr,5943
6B_127/2023,sexual,"""contrainte sexuelle""",fr,3246
6B_757/2021,sexual,"""contrainte sexuelle""",fr,3166
6B_215/2021,sexual,"""contrainte sexuelle""",fr,4421
6B_92/2020,sexual,"""contrainte sexuelle""",fr,7771
6B_276/2018,sexual,"""contrainte sexuelle""",fr,6752
6B_435/2018,sexual,"""contrainte sexuelle""",fr,2603
6B_389/2017,sexual,"""contrainte sexuelle""",fr,4748
6B_968/2016,sexual,"""contrainte sexuelle""",fr,3049
6B_1088/2015,sexual,"""contrainte sexuelle""",fr,2626
6B_45/2007,sexual,"""contrainte sexuelle""",fr,4186
6B_749/2025,sexual,"""contrainte sexuelle""",fr,13717
6B_1242/2023,sexual,"""contrainte sexuelle""",fr,5734
7B_506/2023,sexual,"""contrainte sexuelle""",fr,6912
6B_321/2007,violence,assassinat,fr,4378
6S.435/2005,violence,assassinat,fr,7289
6B_529/2017,violence,assassinat,fr,2133
6B_740/2008,violence,assassinat,fr,12641
6B_357/2008,violence,assassinat,fr,1573
6B_825/2016,violence,assassinat,fr,5370
6B_762/2009,violence,assassinat,fr,6378
6B_751/2009,violence,assassinat,fr,6969
6B_719/2009,violence,assassinat,fr,5169
6S.357/2004,violence,assassinat,fr,2853
6B_364/2008,violence,assassinat,fr,2011
6B_326/2016,violence,assassinat,fr,7503
6B_753/2008,violence,assassinat,fr,1666
6S.310/2006,violence,assassinat,fr,3949
6S.424/2004,violence,assassinat,fr,5748
6B_952/2019,violence,assassinat,fr,4437
6B_676/2015,violence,assassinat,fr,4034
6B_13/2014,violence,assassinat,fr,2239
6S.145/2006,violence,assassinat,fr,3885
6S.359/2004,violence,assassinat,fr,3077
6B_1311/2019,violence,assassinat,fr,8577
6B_247/2020,violence,assassinat,fr,7090
6B_675/2019,violence,assassinat,fr,9143
6B_498/2022,violence,assassinat,fr,2230
6B_1052/2020,violence,assassinat,fr,10015
6B_777/2019,violence,assassinat,fr,6894
6B_943/2009,violence,assassinat,fr,4501
6B_78/2014,violence,assassinat,fr,3975
6B_143/2022,violence,assassinat,fr,10941
6B_1197/2015,violence,assassinat,fr,4416
6B_372/2014,violence,assassinat,fr,2473
6B_1086/2013,violence,assassinat,fr,4948
6B_1080/2013,violence,assassinat,fr,5096
6B_1079/2013,violence,assassinat,fr,5066
6B_215/2012,violence,assassinat,fr,7656
6B_704/2011,violence,assassinat,fr,2340
6B_632/2024,violence,assassinat,fr,17541
6B_206/2024,violence,assassinat,fr,11464
